"","Entity","Code","Year","Under5","50-69","15-49","5-14","70+"
"1","United States","USA",1990,95142.9985524,4985841.58924,4075340.30218,225685.651808,3900904.28774
"2","United States","USA",1991,98666.9637286,5088216.21326,4236517.56274,242966.785461,4005213.64888
"3","United States","USA",1992,103658.013112,5178010.05791,4390110.17701,258659.950623,4121741.42402
"4","United States","USA",1993,108602.20126,5314873.45771,4527660.64195,272771.361949,4245120.45566
"5","United States","USA",1994,110702.69456,5408147.75155,4635675.58106,282853.752464,4349787.11671
"6","United States","USA",1995,110109.627773,5490453.18015,4737715.35905,289494.535961,4466158.35437
"7","United States","USA",1996,108085.451481,5520481.47264,4789117.03588,290745.271508,4551536.42133
"8","United States","USA",1997,106658.928885,5591745.44767,4731364.61375,284827.714199,4619897.23467
"9","United States","USA",1998,104227.162943,5663244.96858,4643286.34703,276298.853626,4688779.59739
"10","United States","USA",1999,101491.411475,5755606.36985,4590703.5312,269718.455754,4746688.35271
"11","United States","USA",2000,100807.863916,5888351.78869,4594528.47575,267193.198848,4810101.39648
"12","United States","USA",2001,100213.249634,6054454.27117,4644091.17172,268535.446516,4887352.04195
"13","United States","USA",2002,101634.514068,6283943.35542,4703499.1541,271503.669054,4979677.21267
"14","United States","USA",2003,100819.069367,6533283.37347,4745353.87783,272163.8221,5075968.11731
"15","United States","USA",2004,100481.371038,6773388.83482,4772417.46511,272010.26447,5145693.08085
"16","United States","USA",2005,99963.4414017,7030627.59847,4807148.85512,270495.875854,5219428.8061
"17","United States","USA",2006,99265.9841838,7274252.60017,4833746.29904,268993.161793,5281071.86508
"18","United States","USA",2007,100975.929514,7596002.4744,4873177.95359,271335.20708,5383091.68592
"19","United States","USA",2008,103005.814407,7959127.57193,4921821.73312,275477.448359,5526722.91387
"20","United States","USA",2009,104736.763651,8322058.98734,4974449.83792,280288.683267,5671206.26143
"21","United States","USA",2010,105245.702061,8638819.90597,4971900.13755,283735.098993,5814029.63314
"22","United States","USA",2011,105011.245145,8934259.97288,4964102.76812,286570.582664,5948166.77212
"23","United States","USA",2012,103675.417974,9218421.46404,4942668.41756,289535.548835,6087633.0459
"24","United States","USA",2013,101764.964049,9456205.67443,4921675.85287,291385.783757,6285523.9784
"25","United States","USA",2014,99855.7738818,9701487.60855,4903496.79614,291958.526817,6469018.19365
"26","United States","USA",2015,100207.165731,9960618.79034,4906924.94051,292991.974504,6657326.4653
"27","United States","USA",2016,101293.748691,10238792.9051,4948883.42914,294484.63096,6837506.72767
"28","United States","USA",2017,100844.91873,10350665.8262,4963387.72917,294053.570778,7153766.10316
